freq,unit,airpol,src_crf,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,MIO_T,GHG,CRF1A,HR	18.90343 	18.65223 	17.35957 	16.63968 	15.71919 	16.15433 	16.57102 	16.87128 	15.97626 	16.03678 	15.10106 	15.83346 	16.36044 	17.19161 	17.21817 
A,MIO_T,GHG,CRF1A,HU	47.65955 	45.87722 	42.85933 	40.34585 	39.90149 	42.48563 	43.32618 	44.9563 	44.65051 	44.56056 	42.49837 	44.02395 	42.12989 	37.49893 	36.66594 
A,MIO_T,GHG,CRF1A,IE	40.35278 	36.81278 	36.90533 	35.77241 	35.09119 	36.75536 	38.29556 	36.9696 	36.69882 	35.11756 	33.02089 	34.88619 	34.21959 	31.36187 	30.88994 
A,MIO_T,GHG,CRF1A,IS	1.83086 	1.72071 	1.68003 	1.64304 	1.62169 	1.68703 	1.67898 	1.72434 	1.75697 	1.69335 	1.49128 	1.59052 	1.63548 	1.60431 	1.64235 
A,MIO_T,GHG,CRF1A,IT	419.12192 	406.62761 	389.82016 	357.1927 	337.17537 	349.69813 	346.62854 	341.2667 	337.12495 	327.43033 	291.96116 	324.57527 	328.35452 	300.63745 	290.07498 
A,MIO_T,GHG,CRF1A,LT	12.60548 	11.81928 	11.80769 	11.1458 	10.72778 	10.7094 	10.97049 	10.94715 	11.27203 	11.28069 	11.22839 	11.62053 	11.2082 	11.07297 	11.26399 
A,MIO_T,GHG,CRF1A,LU	10.67907 	10.5743 	10.37915 	9.87368 	9.36713 	8.92127 	8.66209 	8.85481 	9.19056 	9.38514 	7.68821 	8.1018 	6.94516 	6.60828 	6.38573 
A,MIO_T,GHG,CRF1A,LV	8.42697 	7.58642 	7.25433 	7.15227 	6.94051 	7.08455 	7.14574 	7.09881 	7.59931 	7.36765 	6.70369 	6.92948 	6.33443 	6.31974 	6.12986 
A,MIO_T,GHG,CRF1A,MT	2.62842 	2.61615 	2.7561 	2.42948 	2.41727 	1.69664 	1.37623 	1.54013 	1.55078 	1.65361 	1.60422 	1.61487 	1.77847 	1.74185 	1.70362 
A,MIO_T,GHG,CRF1A,NL	170.19126 	157.53504 	154.36679 	153.87071 	145.93643 	153.03287 	152.77469 	149.97053 	145.45094 	141.25919 	125.11738 	128.50127 	115.97962 	106.58076 	104.40801 
A,MIO_T,GHG,CRF1A,NO	36.15607 	35.05083 	34.643 	34.76271 	35.42972 	35.61393 	34.94138 	34.51012 	34.7688 	33.66981 	32.02511 	31.57684 	31.3936 	30.1993 	28.58302 
A,MIO_T,GHG,CRF1A,PL	320.15532 	316.2313 	309.9104 	305.41053 	291.73538 	294.74213 	305.62141 	318.3859 	317.87069 	299.71258 	284.38848 	312.91851 	297.3365 	269.44443 	263.52757 
A,MIO_T,GHG,CRF1A,PT	48.11464 	47.56288 	45.99287 	43.27189 	42.86938 	47.13321 	45.97013 	50.56226 	47.26449 	43.20654 	37.46189 	36.2895 	36.56523 	34.16989 	32.44943 
A,MIO_T,GHG,CRF1A,RO	68.64604 	72.417 	72.13044 	63.81895 	63.06222 	63.53968 	62.05905 	65.28558 	65.34278 	62.18555 	58.08034 	62.43008 	60.97717 	58.87974 	59.08034 
A,MIO_T,GHG,CRF1A,SE	47.25279 	43.49667 	41.15859 	39.56884 	37.98974 	37.94224 	37.41362 	36.70323 	36.47762 	34.70528 	31.91137 	33.17364 	30.71053 	30.23947 	33.59347 
A,MIO_T,GHG,CRF1A,SI	15.89966 	15.81064 	15.20092 	14.53744 	12.94316 	13.09989 	13.93951 	14.02428 	13.91656 	13.40187 	12.24633 	12.49932 	12.19231 	11.51447 	12.20908 
A,MIO_T,GHG,CRF1A,SK	31.27408 	30.7843 	28.74601 	28.5823 	26.34939 	27.12018 	27.31148 	28.29085 	28.19469 	26.7006 	24.44308 	27.20563 	24.99802 	24.34091 	22.79446 
A,MIO_T,GHG,CRF1A,TR	280.93142 	301.48706 	313.44542 	301.43707 	317.63775 	340.05922 	354.90625 	376.77095 	369.57174 	358.85977 	361.81871 	396.18197 	389.7006 	390.09775 	408.24673 
A,MIO_T,GHG,CRF1A1,AT	13.74671 	13.35386 	11.97439 	10.97264 	9.35347 	10.45762 	10.23961 	10.85158 	10.00254 	10.03484 	8.66693 	8.68563 	8.17385 	7.29615 	7.25578 
A,MIO_T,GHG,CRF1A1,BE	26.10568 	22.66738 	22.51993 	21.05989 	20.06766 	20.78454 	19.48379 	19.62995 	19.58242 	20.9012 	18.93332 	18.15099 	18.46061 	15.61779 	14.76981 
A,MIO_T,GHG,CRF1A1,BG	31.31999 	36.09025 	31.31081 	26.97903 	28.75648 	29.76696 	26.36125 	27.65009 	23.53676 	22.5494 	17.91696 	22.11389 	27.02273 	15.76758 	12.84344 
