freq,wst_oper,unit,geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,DSP_I,THS_T,RS	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	0 	0 	0 	: 
A,DSP_I,THS_T,SE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 e	0 e	0 e	0 e	0 e
A,DSP_I,THS_T,SI	1 	0 	1 	1 	0 	0 	19 	37 	7 	1 	21 	21 	25 	21 	27 
A,DSP_I,THS_T,SK	12 	4 	4 	0 	4 	0 	0 	0 	30 	85 	0 	0 	0 	0 	0 
A,DSP_I,THS_T,TR	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
A,DSP_I,THS_T,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 
A,DSP_I_RCV_E,KG_HAB,AL	: 	: 	: 	32 	15 	20 	21 	15 	22 	4 	4 	6 	13 	14 	: 
A,DSP_I_RCV_E,KG_HAB,AT	196 	200 	201 	202 	205 	212 	212 	221 	224 	226 i	299 b	296 	284 	277 	: 
A,DSP_I_RCV_E,KG_HAB,BA	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	0 	0 	0 
A,DSP_I_RCV_E,KG_HAB,BE	178 	182 	184 	191 	185 	182 	186 	176 	177 	178 	353 	332 	311 	303 	305 p
A,DSP_I_RCV_E,KG_HAB,BG	0 	0 	0 	7 	7 	12 	16 	15 	31 	16 i	20 	13 	15 	16 	: 
A,DSP_I_RCV_E,KG_HAB,CH	352 	345 	348 	346 	341 	344 	343 	337 	335 	333 	333 	336 	324 	325 	: 
A,DSP_I_RCV_E,KG_HAB,CY	0 	0 	0 	0 	5 	0 	2 	2 	5 	6 	9 	15 	16 	16 	17 
A,DSP_I_RCV_E,KG_HAB,CZ	47 e	58 e	62 e	60 e	57 e	56 e	56 e	85 b	83 	82 	69 	69 	67 	76 	: 
A,DSP_I_RCV_E,KG_HAB,DE	223 i	229 i	214 i	207 i	208 i	202 i	202 i	200 i	195 i	198 i	194 i	191 i	183 i	186 i	198 i
A,DSP_I_RCV_E,KG_HAB,DK	: 	474 b	446 	447 	430 	422 	419 	421 	397 	401 	435 	395 	363 	387 	386 p
A,DSP_I_RCV_E,KG_HAB,EE	0 	0 	35 	163 	169 	185 	184 	165 	167 	167 	164 	192 	157 	159 	158 
A,DSP_I_RCV_E,KG_HAB,EL	0 	1 	3 	: 	: 	: 	3 i	5 i	8 i	7 	8 	8 	8 	9 	: 
A,DSP_I_RCV_E,KG_HAB,ES	44 	50 	45 	53 	52 	58 	56 	60 	55 	52 	47 	51 	50 	46 p	47 e
A,DSP_I_RCV_E,KG_HAB,EU27_2020	120 i	125 i	122 i	125 i	128 i	129 i	130 i	132 i	131 i	131 i	138 i	138 i	132 i	: 	135 i
A,DSP_I_RCV_E,KG_HAB,FI	104 	126 	171 	209 	241 	239 	276 	299 	314 	314 	350 	382 	292 	256 	236 
A,DSP_I_RCV_E,KG_HAB,FR	186 e	188 	186 e	184 	183 e	183 	175 e	174 e	173 e	171 e	175 e	173 e	177 e	173 e	170 ep
A,DSP_I_RCV_E,KG_HAB,HR	0 	0 	0 	0 	1 	0 	0 	0 	0 	0 	1 	1 	1 	8 	7 
A,DSP_I_RCV_E,KG_HAB,HU	41 	41 	37 	34 	38 	54 	57 	63 	52 	53 	49 	52 	48 	53 	55 
A,DSP_I_RCV_E,KG_HAB,IE	24 	43 	93 	: 	192 	: 	170 	182 	254 	284 	268 	257 	262 	251 	: 
A,DSP_I_RCV_E,KG_HAB,IS	38 	31 	28 	19 	21 	20 	25 	24 	33 	: 	64 	55 	93 	119 	: 
A,DSP_I_RCV_E,KG_HAB,IT	91 	93 	92 	99 	97 	100 b	98 	94 	96 	99 	94 	95 	90 	94 	: 
A,DSP_I_RCV_E,KG_HAB,LT	0 	2 	0 	31 	38 	51 	77 	83 	58 	69 	124 	168 	177 	180 	179 
A,DSP_I_RCV_E,KG_HAB,LU	256 	261 	249 	243 	237 	274 	379 b	372 	375 	369 e	341 i	323 	299 	292 	273 e
A,DSP_I_RCV_E,KG_HAB,LV	0 	0 	1 	6 	5 	8 	10 	11 	8 	15 i	13 	16 	14 	: 	30 
A,DSP_I_RCV_E,KG_HAB,ME	: 	: 	0 e	0 e	0 e	0 e	0 e	: 	0 e	0 e	0 e	0 e	0 e	0 e	0 e
A,DSP_I_RCV_E,KG_HAB,MK	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 
A,DSP_I_RCV_E,KG_HAB,MT	0 	6 	3 	2 	2 	2 	2 	0 	0 	0 	0 	25 	8 	16 	13 
A,DSP_I_RCV_E,KG_HAB,NL	281 	280 	269 	256 	251 	245 	235 	226 	218 	212 	222 	210 p	194 p	189 	192 
A,DSP_I_RCV_E,KG_HAB,NO	236 	271 	268 	285 	224 b	221 	404 b	396 	378 	384 	337 b	399 	393 	339 	338 
A,DSP_I_RCV_E,KG_HAB,PL	1 	1 	1 	20 be	41 be	38 e	60 e	77 e	79 e	77 e	75 	78 	77 	76 	85 
A,DSP_I_RCV_E,KG_HAB,PT	100 	103 	88 	104 	93 	91 	92 	96 	92 	96 	109 	120 	103 	92 	116 
A,DSP_I_RCV_E,KG_HAB,RO	1 b	2 	4 	5 	7 	6 	11 	12 	12 	13 	15 	18 	23 	18 	: 
A,DSP_I_RCV_E,KG_HAB,RS	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	2 	2 	2 	: 
A,DSP_I_RCV_E,KG_HAB,SE	226 	237 	239 	233 	222 	233 	228 	239 	232 	236 	259 be	249 e	233 e	230 e	225 e
A,DSP_I_RCV_E,KG_HAB,SI	4 	6 	5 	2 	1 	77 be	91 e	54 e	50 e	66 e	64 e	56 	62 	69 	82 
A,DSP_I_RCV_E,KG_HAB,SK	34 	34 	31 	32 	35 	35 	36 	36 	34 	39 	35 	40 	38 	36 	35 
A,DSP_I_RCV_E,KG_HAB,TR	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
A,DSP_I_RCV_E,KG_HAB,XK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	0 	0 i	0 i
A,DSP_I_RCV_E,THS_T,AL	: 	: 	: 	92 	44 	58 	60 	43 	63 	12 	12 	18 	36 	39 	: 
A,DSP_I_RCV_E,THS_T,AT	1636 	1678 	1693 	1716 	1756 	1833 	1855 	1944 	1977 	2004 i	2669 b	2654 	2567 	2533 	: 
A,DSP_I_RCV_E,THS_T,BA	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 	0 	0 	0 
A,DSP_I_RCV_E,THS_T,BE	1940 	2004 	2047 	2131 	2078 	2050 	2113 	2002 	2022 	2047 	4070 	3852 	3633 	3569 	3623 p
A,DSP_I_RCV_E,THS_T,BG	0 	0 	0 	49 	51 	82 	109 	103 	208 	103 i	129 	82 	96 	101 	: 
A,DSP_I_RCV_E,THS_T,CH	2757 	2732 	2786 	2798 	2790 	2850 	2876 	2846 	2856 	2857 	2875 	2926 	2843 	2891 	: 
A,DSP_I_RCV_E,THS_T,CY	0 	0 	0 	0 	4 	0 	2 	2 	4 	6 	8 	14 	15 	16 	16 
A,DSP_I_RCV_E,THS_T,CZ	497 e	610 e	654 e	631 e	604 e	590 e	588 e	905 b	879 	873 	737 	726 	719 	829 	: 
A,DSP_I_RCV_E,THS_T,DE	18256 i	18358 i	17192 i	16707 i	16877 i	16527 i	16652 i	16558 i	16127 i	16464 i	16133 i	15910 i	15226 i	15495 i	16519 i
A,DSP_I_RCV_E,THS_T,DK	: 	2643 b	2495 	2510 	2424 	2396 	2402 	2429 	2302 	2333 	2536 	2311 	2141 	2301 	2304 p
A,DSP_I_RCV_E,THS_T,EE	0 	0 	47 	214 	222 	243 	242 	217 	221 	221 	218 	255 	212 	218 	217 
A,DSP_I_RCV_E,THS_T,EL	0 	16 	29 	: 	: 	: 	27 i	58 i	83 i	74 	88 	87 	87 	89 	: 
A,DSP_I_RCV_E,THS_T,ES	2044 	2342 	2112 	2492 	2394 	2685 	2589 	2804 	2580 	2445 	2218 	2423 	2366 	2227 p	2276 e
A,DSP_I_RCV_E,THS_T,EU27_2020	53206 i	55227 i	53876 i	55374 i	56547 i	56997 i	57565 i	58618 i	58294 i	58693 i	61722 i	61426 i	59154 i	: 	60551 i
A,DSP_I_RCV_E,THS_T,FI	556 	678 	925 	1137 	1316 	1312 	1515 	1646 	1733 	1736 	1934 	2116 	1621 	1430 	1328 
A,DSP_I_RCV_E,THS_T,FR	12058 e	12265 	12191 e	12116 	12158 e	12199 	11701 e	11634 e	11638 e	11505 e	11821 e	11746 e	12067 e	11803 e	11654 ep
A,DSP_I_RCV_E,THS_T,HR	0 	0 	2 	1 	3 	0 	1 	1 	1 	1 	3 	5 	3 	30 	29 
A,DSP_I_RCV_E,THS_T,HU	406 	408 	364 	336 	373 	525 	554 	608 	501 	515 	470 	503 	463 	508 	524 
A,DSP_I_RCV_E,THS_T,IE	109 	196 	427 	: 	893 	: 	811 	881 	1243 	1413 	1353 	1313 	1364 	1332 	: 
A,DSP_I_RCV_E,THS_T,IS	12 	10 	9 	6 	7 	7 	8 	8 	12 	: 	24 	20 	35 	46 	: 
A,DSP_I_RCV_E,THS_T,IT	5440 	5593 	5529 	5970 	5868 	6040 b	5865 	5634 	5756 	5889 	5615 	5617 	5307 	5520 	: 
A,DSP_I_RCV_E,THS_T,LT	1 	7 	0 	92 	113 	150 	221 	236 	163 	194 	349 	473 	500 	516 	516 
A,DSP_I_RCV_E,THS_T,LU	130 	135 	132 	132 	132 	156 	221 b	222 	228 	229 e	215 i	207 	195 	194 	185 e
A,DSP_I_RCV_E,THS_T,LV	0 	0 	3 	12 	11 	15 	19 	22 	15 	28 i	24 	30 	26 	: 	57 
A,DSP_I_RCV_E,THS_T,ME	: 	: 	0 e	0 e	0 e	0 e	0 e	: 	0 e	0 e	0 e	0 e	0 e	0 e	0 e
A,DSP_I_RCV_E,THS_T,MK	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 
